question,option1,option2,option3,option4,correct_option,explanation,difficulty
"Vocabulary: Which word means the same as happy?",Angry,Joyful,Tired,Silent,B,"Joyful is a synonym of happy.",easy
"Spelling: Which spelling is correct?",Recieve,Receive,Receeve,Receve,B,"Receive is spelled with ei after c.",easy
"Vocabulary: What is the opposite of ancient?",Old,Modern,Rare,Famous,B,"Modern means recent or current, which is the opposite of ancient.",easy
"Spelling: Which word is spelled correctly?",Definately,Definitely,Defanitely,Definetly,B,"Definitely is the correct spelling.",medium
"Vocabulary: Which word means to speak very softly?",Shout,Whisper,Argue,Announce,B,"Whisper means to speak very softly.",easy
"Spelling: Choose the correct spelling.",Accomodate,Acommodate,Accommodate,Acomodate,C,"Accommodate has two c's and two m's.",medium
"Vocabulary: Which word best means brave?",Timid,Courageous,Careless,Polite,B,"Courageous means brave.",easy
"Spelling: Which spelling is correct?",Seperate,Separate,Separete,Seperete,B,"Separate is the correct spelling.",medium
"Vocabulary: Which word means a brief summary?",Detail,Abstract,Chapter,Question,B,"An abstract is a brief summary.",medium
"Spelling: Choose the correctly spelled word.",Occasion,Ocassion,Occassion,Ocaasion,A,"Occasion is spelled with double c and one s.",medium
